epoch	epoch time	acc	loss	val_acc	val_loss
0	747.991770029068	0.17754407051282051	2.5613461008438696	0.26200000000000001	2.1565741100311278
1	744.4767088890076	0.28577157523259544	2.076329654862493	0.31259999999999999	2.0411671407699585
2	743.4240388870239	0.31416426050689766	1.9572811274334219	0.37740000000000001	1.7206729236602782
3	743.3472650051117	0.36114453000635299	1.8552072705999183	0.39729999999999999	1.7238144653320313
4	743.3483278751373	0.42901828675687714	1.6772353259041632	0.4864	1.405746369934082
5	743.7908759117126	0.47565768365107325	1.5610835412239317	0.51349999999999996	1.3621683774948121
6	743.6414320468903	0.5184472248861719	1.4283452273409527	0.56520000000000004	1.2291064783096313
7	743.3221089839935	0.54204764196342636	1.37666713644535	0.58179999999999998	1.3181129354476928
8	744.059201002121	0.53200192492781517	1.4792953409902323	0.50670000000000004	1.4781962661743164
9	744.4437849521637	0.48792909849213989	1.5558177992285618	0.4461	1.55980217628479
10	744.724457025528	0.52466313762277761	1.4332003857334492	0.5766	1.3036541556358336
11	744.5090520381927	0.56380333654154635	1.3375658349115802	0.59060000000000001	1.2926239397048951
12	744.3874189853668	0.60178055820994392	1.2462917714307122	0.61950000000000005	1.1423412296295166
13	745.893308877945	0.58202999681090939	1.2914053260954979	0.60970000000000002	1.1423616905212401
14	746.3445088863373	0.57832050048123196	1.3044380538158398	0.6169	1.1220393274307252
15	746.2093439102173	0.52125441129290984	1.4510863986885774	0.53549999999999998	1.5588251346588136
16	746.1885280609131	0.51786573631357302	1.5029886423642718	0.24929999999999999	2.3107154464721678
17	745.7958421707153	0.31111645813282002	2.1532127311071374	0.42459999999999998	1.6169138973236084
18	746.2078649997711	0.29459416104273267	2.1362571770998771	0.31490000000000001	1.9695379096984864
19	746.4448299407959	0.30474013472582462	2.0612503288264148	0.28399999999999997	2.1710067932128907
20	746.0778748989105	0.32990455565293475	1.9385571465264309	0.37909999999999999	1.8317817554473876
21	746.3765649795532	0.38897577799165867	1.6796104195104946	0.44190000000000002	1.5418887744903564
22	746.0723330974579	0.44036734042008563	1.5438897539340115	0.48060000000000003	1.4625026863098145
23	745.7715489864349	0.47164741736939214	1.4562952664941022	0.50949999999999995	1.4312551761627197
24	745.9864039421082	0.49617019573923943	1.3934250850114525	0.53000000000000003	1.3683190923690796
25	745.8970990180969	0.52053256338132969	1.3339506268386547	0.54910000000000003	1.2893038595199584
26	746.0594758987427	0.54254892524863652	1.2735823763460925	0.55300000000000005	1.291883935546875
27	745.9989740848541	0.56474574911774145	1.2160104292495379	0.57899999999999996	1.1851258944511414
28	746.0536711215973	0.58449631065063301	1.1621016447154766	0.59689999999999999	1.1346247896194459
29	745.3731479644775	0.60091835101674984	1.1127318974523388	0.61309999999999998	1.2320048261642456
30	745.6099891662598	0.62756657038203101	1.0495869633782013	0.64570000000000005	1.0099227472305299
31	745.8785240650177	0.6438883541675956	1.0047544127364245	0.63919999999999999	1.1267879335403443
