epoch	epoch time	acc	loss	lr	val_acc	val_loss
0	126.83693504333496	0.12700064020486557	2.8779228474663405	0.1	0.19989999999999999	2.1567739124298098
1	148.72910499572754	0.26478946525776498	1.968145769374553	0.1	0.31280000000000002	1.9342903141021728
2	156.4515118598938	0.37455971821966061	1.6889085464663816	0.1	0.44359999999999999	1.5181953359603881
3	150.39523911476135	0.45176913224463655	1.5002795984987032	0.1	0.47589999999999999	1.4800229383468628
4	151.72291493415833	0.52967899455651613	1.3013226353049545	0.1	0.57279999999999998	1.1863839960098266
5	154.48954582214355	0.60014409221902021	1.1167834902893761	0.1	0.63890000000000002	1.0239417699813842
6	156.36563086509705	0.6601625040025616	0.95883315150798076	0.1	0.70960000000000001	0.83828385772705083
7	152.54613184928894	0.70893371757925072	0.82296914287839529	0.1	0.73680000000000001	0.76330123233795166
8	127.92771601676941	0.74673791226384889	0.72610995313734183	0.1	0.73670000000000002	0.76948614969253537
9	124.74705815315247	0.77135366634646174	0.66063701141693632	0.1	0.76880000000000004	0.66063544273376462
10	123.9197461605072	0.78846461735510731	0.60612279259734836	0.1	0.79620000000000002	0.58343990063667295
11	123.48306798934937	0.80671629843099579	0.55111292625824837	0.1	0.80689999999999995	0.55637080898284907
12	123.58227300643921	0.81930435478706376	0.51713918532616732	0.1	0.81330000000000002	0.56379537065029139
13	132.94577503204346	0.83299311559398015	0.47811422294487071	0.1	0.81940000000000002	0.52938366425037386
14	173.0978090763092	0.84307957092539221	0.44845757790666113	0.1	0.83389999999999997	0.49310677771568301
15	167.23494791984558	0.85412664105027214	0.41986751772064906	0.1	0.82669999999999999	0.53124667315483098
16	166.01999306678772	0.86273214857508806	0.39287080159372068	0.1	0.83979999999999999	0.47434165549278257
17	164.88285112380981	0.87119756644252322	0.36732794141162484	0.1	0.84709999999999996	0.45444444954395297
18	165.02783823013306	0.87886247198206857	0.34465066418218721	0.1	0.8508	0.4542424129486084
19	152.71443605422974	0.88368555875760491	0.332103646323061	0.1	0.85260000000000002	0.48884443659186361
20	150.62227296829224	0.89173070765289786	0.30549207976993903	0.1	0.85850000000000004	0.42360353407859802
21	126.29885697364807	0.89603346141530582	0.29520312973915136	0.1	0.85270000000000001	0.46518041322231291
22	126.3466260433197	0.90327809798270897	0.27527572567688896	0.1	0.85540000000000005	0.45675891801118851
23	125.88544487953186	0.90948206852385527	0.26206851317366842	0.1	0.85960000000000003	0.44917138910889626
