epoch,ep,epoch time,acc,loss,val_acc,val_loss
0,0,83.87847114,0.131590545,2.820590381,0.1097,2.786650492
1,1,83.63781095,0.191891242,2.404238184,0.2484,2.333339837
2,2,82.17513704,0.267504812,2.222143211,0.284,1.997573448
3,3,84.13148594,0.308449631,2.076942989,0.3315,2.176775814
4,4,84.93013191,0.165222971,2.507475245,0.2499,2.435277287
5,5,85.67671704,0.237487969,2.207833483,0.2747,1.990347389
6,6,85.53986597,0.255474013,2.182363393,0.3045,2.042134882
7,7,83.26910591,0.242500802,2.206054307,0.1063,2.639041932
8,8,82.23381877,0.114894129,2.545817359,0.1392,2.453058923
9,9,83.45227814,0.141502246,2.404415858,0.1963,2.299685978
10,10,82.4502089,0.240495669,2.168803631,0.2984,2.12518076
11,11,85.55189395,0.303136028,1.939879489,0.323,1.91509139
12,12,81.99685502,0.337383702,1.836753753,0.3728,1.799108301
13,13,82.42060399,0.373215432,1.712158116,0.4107,1.638139291
14,14,82.8729949,0.397256978,1.634370247,0.4198,1.627501818
15,15,84.79285002,0.416105229,1.581573759,0.4454,1.576779456
16,16,85.4848659,0.444237247,1.513019004,0.4719,1.458382657
17,17,84.34916496,0.471487007,1.443055587,0.5109,1.380160797
18,18,82.19481087,0.503488932,1.360909999,0.5477,1.253334938
19,19,81.951226,0.54216795,1.262939395,0.5765,1.179623886
20,20,82.72136402,0.577698909,1.169791222,0.5803,1.28406656
21,21,83.07950306,0.607034007,1.086672384,0.6366,1.045407409
22,22,80.78562593,0.637291466,1.006759693,0.6719,0.942916133
23,23,81.57900095,0.668551492,0.935967418,0.6672,1.075986672
24,24,84.29571605,0.689705646,0.872856286,0.7067,0.886648365
25,25,85.26257205,0.718138434,0.800602528,0.7369,0.7737739
26,26,83.76293993,0.734801091,0.752515615,0.7273,0.850363115
27,27,81.72944593,0.755153192,0.701014035,0.7404,0.760842083
28,28,80.72858691,0.765680141,0.669378586,0.7665,0.683110471
29,29,84.28650689,0.777851299,0.629461712,0.7818,0.662253545
30,30,81.37061906,0.791706769,0.595585827,0.7711,0.683867031
31,31,83.20847416,0.800830125,0.567807459,0.7955,0.631881045
32,32,81.53346515,0.812600257,0.541996492,0.8035,0.59696692
33,33,83.99733686,0.819738531,0.514755758,0.8072,0.571754187
34,34,87.294698,0.828180141,0.490497027,0.8187,0.539513276
35,35,87.13608289,0.837985242,0.466119117,0.8174,0.553304569
36,36,87.07057118,0.842236124,0.451907037,0.82,0.608756454
37,37,85.54858708,0.845584697,0.441014247,0.8332,0.522092196
38,38,82.870893,0.856452519,0.409926948,0.8256,0.633579407
39,39,83.32527995,0.859019089,0.402044196,0.835,0.562194562
40,40,81.25964904,0.868743985,0.378525934,0.8356,0.550791452
41,41,82.98635602,0.870969682,0.370927077,0.83,0.702218573
42,42,80.65062308,0.874077639,0.355153205,0.8431,0.515171276
43,43,83.39568496,0.880193295,0.341628508,0.8384,0.5028963
44,44,80.69372296,0.883922843,0.3288768,0.8471,0.472829317
45,45,81.10779619,0.889276548,0.314447749,0.847,0.492537502
46,46,84.81818485,0.892725377,0.302272727,0.843,0.503144342
47,47,84.05424881,0.897036413,0.292151534,0.8494,0.546019502
